Date,CPI
2017-11-01,6.9
2017-12-01,6.7
2018-01-01,4.3
2018-02-01,2.7
2018-03-01,2.8
2018-04-01,2.5
2018-05-01,2.5
2018-06-01,2.2
2018-07-01,2.8
2018-08-01,3.1
2018-09-01,2.7
2018-10-01,2.3
2018-11-01,1.9
2018-12-01,1.5
2019-01-01,2.2
2019-02-01,2.3
2019-03-01,3.7
2019-04-01,4.1
2019-05-01,4.7
2019-06-01,4.3
2019-07-01,4.6
2019-08-01,4.9
2019-09-01,6.4
2019-10-01,6.9
2019-11-01,7.0
2019-12-01,7.0
2020-01-01,6.4
2020-02-01,6.4
2020-03-01,6.1
2020-04-01,6.9
2020-05-01,6.5
2020-06-01,6.1
2020-07-01,5.7
2020-08-01,4.8
2020-09-01,3.8
2020-10-01,3.8
2020-11-01,3.8
2020-12-01,2.4
2021-01-01,2.8
2021-02-01,3.6
2021-03-01,7.2
2021-04-01,7.2
2021-05-01,7.7
2021-06-01,9.9
2021-07-01,11.9
2021-08-01,12.8
2021-09-01,12.3
2021-10-01,12.8
2021-11-01,12.5
2021-12-01,13.9
2022-01-01,13.9
2022-02-01,13.7
2022-03-01,11.8
2022-04-01,12.8
2022-05-01,13.3
2022-06-01,12.8
2022-07-01,11.5
2022-08-01,10.9
2022-09-01,11.5
2022-10-01,10.6
2022-11-01,10.4
2022-12-01,9.8
2023-01-01,9.4
2023-02-01,8.1
2023-03-01,5.3
2023-04-01,2.7
2023-05-01,1.5
2023-06-01,0.6
2023-07-01,0.3
2023-08-01,0.9
2023-09-01,0.7
2023-10-01,0.8
2023-11-01,0.1
2023-12-01,0.4
2024-01-01,0.0
2024-02-01,0.3
2024-03-01,0.5
2024-04-01,1.5
2024-05-01,2.0
2024-06-01,2.2
2024-07-01,1.8
2024-08-01,1.0
2024-09-01,0.6
2024-10-01,0.3
2024-11-01,1.3
2024-12-01,1.9
